Feature_ID,Correlacao,Status
228,-0.0179,Podado
229,-0.0126,Podado
230,-0.0179,Podado
231,-0.0566,Podado
232,-0.0126,Podado
233,-0.0179,Podado
234,-0.0126,Podado
235,-0.0682,Podado
236,-0.0379,Podado
237,-0.0126,Podado
238,-0.0179,Podado
239,-0.0126,Podado
240,-0.0126,Podado
241,-0.0126,Podado
242,-0.0126,Podado
243,-0.0126,Podado
244,-0.0179,Podado
245,-0.0126,Podado
246,-0.0537,Podado
247,-0.0357,Podado
248,-0.0320,Podado
249,-0.0126,Podado
250,-0.0126,Podado
251,-0.0432,Podado
252,-0.0566,Podado
253,-0.0219,Podado
254,-0.0253,Podado
255,-0.0179,Podado
256,-0.0126,Podado
257,-0.0126,Podado
258,-0.0126,Podado
259,-0.0126,Podado
260,-0.0126,Podado
261,-0.0126,Podado
262,-0.0126,Podado
263,-0.0179,Podado
264,-0.0126,Podado
265,-0.0126,Podado
266,-0.0126,Podado
267,-0.0258,Podado
268,-0.0126,Podado
269,-0.0357,Podado
270,-0.0219,Podado
271,-0.1024,Podado
272,-0.0334,Podado
273,-0.0310,Podado
274,-0.0126,Podado
275,-0.0126,Podado
276,-0.0126,Podado
277,-0.0126,Podado
278,0.5385,Selecionado
279,-0.0179,Podado
280,-0.0456,Podado
281,-0.0126,Podado
282,-0.0179,Podado
283,-0.0126,Podado
284,-0.0126,Podado
285,-0.1039,Podado
286,-0.0126,Podado
287,-0.0219,Podado
288,-0.0126,Podado
289,-0.0179,Podado
290,-0.0126,Podado
291,-0.0253,Podado
292,-0.0126,Podado
293,-0.0179,Podado
294,-0.0126,Podado
295,-0.0126,Podado
296,-0.0219,Podado
297,-0.0490,Podado
298,-0.0419,Podado
299,-0.0126,Podado
300,-0.0728,Podado
301,-0.0126,Podado
302,-0.0283,Podado
303,-0.0379,Podado
304,-0.0253,Podado
305,-0.0219,Podado
306,-0.0126,Podado
307,-0.0126,Podado
308,-0.0253,Podado
309,-0.0126,Podado
310,-0.2158,Podado
311,-0.0179,Podado
312,-0.0179,Podado
313,-0.0126,Podado
314,-0.0219,Podado
315,-0.0253,Podado
316,-0.0126,Podado
317,-0.0126,Podado
318,-0.0126,Podado
319,-0.0126,Podado
320,-0.0334,Podado
321,-0.0179,Podado
322,-0.0126,Podado
323,-0.0832,Podado
324,-0.0179,Podado
325,-0.0179,Podado
326,-0.0179,Podado
327,-0.0126,Podado
328,-0.0126,Podado
329,-0.0179,Podado
330,-0.0126,Podado
331,-0.0179,Podado
332,-0.0219,Podado
